#Types Before Cut: 11091
#Types After Cut: 9677
#Search Hits: 0
242	13	34.470	сижу
243	13	34.470	спать
244	13	34.470	твои
245	13	34.470	учились
246	17	33.524	пошла
247	15	32.909	будешь
248	15	32.909	поняла
249	28	32.783	таки
250	34	32.713	голос
251	23	32.711	дома
252	24	32.587	принципе
253	49	32.153	всегда
254	12	31.818	берег
255	12	31.818	весело
256	12	31.818	детстве
257	12	31.818	квартиру
258	12	31.818	круто
259	12	31.818	любят
260	12	31.818	поговорить
261	12	31.818	пятьдесят
262	12	31.818	смешно
263	113	31.369	даже
264	16	31.101	школа
265	16	31.101	языке
266	20	31.098	дочка
267	20	31.098	другому
268	21	30.782	язык
269	36	30.752	две
270	14	30.391	домой
271	17	30.020	давайте
272	18	29.335	дом
273	11	29.167	inan
274	11	29.167	давали
275	11	29.167	девочки
276	11	29.167	девяносто
277	11	29.167	здорово
278	11	29.167	знала
279	11	29.167	кадра
280	11	29.167	классно
281	11	29.167	кхм
282	11	29.167	понимаешь
283	11	29.167	расскажу
284	11	29.167	рассказчик
285	11	29.167	смеётся
286	11	29.167	смотри
287	11	29.167	соседка
288	11	29.167	училась
289	11	29.167	холодно
290	26	28.951	самое
291	26	28.951	смысле
292	19	28.903	младший
293	15	28.693	понял
294	21	28.513	жить
295	21	28.513	хоть
296	13	27.882	концерт
297	13	27.882	семья
298	13	27.882	ходить
299	13	27.882	честно
300	16	27.703	видео
301	156	27.116	или
302	17	27.095	моей
303	18	26.730	понимаю
304	22	26.539	часов
305	19	26.530	н
306	19	26.530	слово
307	10	26.515	бывают
308	10	26.515	вкус
309	10	26.515	восемьдесят
310	10	26.515	дед
311	10	26.515	дедушка
312	10	26.515	ехать
313	10	26.515	забыл
314	10	26.515	иии
315	10	26.515	картинка
316	10	26.515	кашель
317	10	26.515	нуу
318	10	26.515	озеро
319	10	26.515	пол
320	10	26.515	прикольно
321	10	26.515	ребята
322	10	26.515	своё
323	10	26.515	слушай
324	10	26.515	смешок
325	10	26.515	собака
326	10	26.515	ушёл
327	14	26.300	собственно
328	27	26.105	моя
329	15	25.405	ж
330	15	25.405	играть
331	12	25.385	вдруг
332	12	25.385	делаю
333	12	25.385	купил
334	16	24.878	читать
335	50	24.817	день
336	146	24.671	был
337	35	24.558	четыре
338	39	24.471	людей
339	20	24.467	друг
340	20	24.467	места
341	18	24.440	тему
342	29	24.182	старший
343	13	23.924	какими
344	13	23.924	маленький
345	13	23.924	машина
346	13	23.924	смотреть
347	9	23.864	n
348	9	23.864	ар
349	9	23.864	грустный
350	9	23.864	двенадцать
351	9	23.864	двести
352	9	23.864	кошки
353	9	23.864	папа
354	9	23.864	переехали
355	9	23.864	подожди
356	9	23.864	смесь
357	9	23.864	танцами
358	9	23.864	твой
359	9	23.864	учителя
360	9	23.864	чай
361	9	23.864	эмм
362	14	23.130	d
363	14	23.130	вещи
364	14	23.130	мои
365	14	23.130	хотелось
366	22	23.115	какую
367	11	22.900	квартире
368	21	22.871	долго
369	16	22.459	девять
370	18	22.402	русский
371	17	22.378	кем
372	27	22.134	каждый
373	36	22.086	одна
374	12	21.570	нравятся
375	8	21.212	acc
376	8	21.212	komm
377	8	21.212	nom
378	8	21.212	ааa
379	8	21.212	английский
380	8	21.212	брови
381	8	21.212	вертолет
382	8	21.212	говорящийа
383	8	21.212	говорящийб
384	8	21.212	грустно
385	8	21.212	делаешь
386	8	21.212	егэ
387	8	21.212	замечательно
388	8	21.212	звук
389	8	21.212	иду
390	8	21.212	интересного
391	8	21.212	колесико
392	8	21.212	любишь
393	8	21.212	лёва
394	8	21.212	мамой
395	8	21.212	мемы
396	8	21.212	моих
397	8	21.212	надя
398	8	21.212	неудобно
399	8	21.212	никит
400	8	21.212	одиннадцать
401	8	21.212	поехал
402	8	21.212	прихожу
403	8	21.212	смотрел
404	8	21.212	смотрела
405	8	21.212	студентов
406	8	21.212	типо
407	8	21.212	учился
408	8	21.212	учится
409	8	21.212	хе
410	8	21.212	эт
